Drug A,Drug B,Cell Line Name,Score
Cladribine,Celecoxib,UO-31,-2.0
Vinblastine sulfate (hydrate),Tamoxifen citrate,LOX IMVI,9.333333333333334
Gefitinib,Lenalidomide,HS 578T,-1.7777777777777777
Sorafenib tosylate,Cladribine,SF-539,1.0
Fulvestrant,Tamoxifen citrate,SK-MEL-28,0.0
Tretinoin,Cladribine,NCI-H522,-0.5555555555555556
Docetaxel,Tamoxifen citrate,T-47D,18.88888888888889
Mitotane,Everolimus,HS 578T,17.88888888888889
Imatinib mesylate,Tamoxifen citrate,UO-31,-1.5555555555555556
Mitotane,Tretinoin,A549/ATCC,5.111111111111111
Romidepsin,Tamoxifen citrate,OVCAR-4,5.777777777777778
Dasatinib,Cladribine,SW-620,-4.333333333333333
Vinblastine sulfate (hydrate),Celecoxib,A549/ATCC,-8.333333333333334
Mitotane,Cladribine,MDA-MB-468,-4.777777777777779
Paclitaxel,Tamoxifen citrate,PC-3,10.777777777777779
Vinblastine sulfate (hydrate),Celecoxib,SK-MEL-5,0.4444444444444444
Vinblastine sulfate (hydrate),Tamoxifen citrate,DU-145,11.222222222222221
Everolimus,Vorinostat,NCI-H322M,-4.333333333333333
Romidepsin,Vinblastine sulfate (hydrate),DU-145,-8.0
Everolimus,Sirolimus,MDA-MB-468,2.0
Vinblastine sulfate (hydrate),Dasatinib,A549/ATCC,-4.2222222222222205
Mitotane,Tretinoin,MALME-3M,-6.333333333333332
Imatinib mesylate,Tamoxifen citrate,IGROV1,-4.2222222222222205
Paclitaxel,Tretinoin,SK-MEL-28,2.4444444444444446
Sirolimus,Tamoxifen citrate,SF-295,-4.4444444444444455
Imatinib mesylate,Tamoxifen citrate,HS 578T,-1.5555555555555556
Quinacrine hydrochloride,Cladribine,EKVX,-15.0
Sirolimus,Tamoxifen citrate,NCI-H460,2.1111111111111107
Mitotane,Sirolimus,MDA-MB-231/ATCC,-1.5555555555555556
Cladribine,Celecoxib,HCT-15,-3.2222222222222223
Romidepsin,Paclitaxel,SF-268,5.222222222222221
Imatinib mesylate,Celecoxib,OVCAR-4,2.7777777777777777
Everolimus,Paclitaxel,T-47D,-3.555555555555556
Docetaxel,Paclitaxel,MDA-MB-468,4.0
Vorinostat,Vinblastine sulfate (hydrate),DU-145,0.7777777777777778
Everolimus,Tretinoin,NCI-H460,-1.0
Everolimus,Paclitaxel,A498,2.888888888888889
Gefitinib,Lenalidomide,OVCAR-4,-5.777777777777778
Vinblastine sulfate (hydrate),Imatinib mesylate,NCI-H460,-4.5555555555555545
Quinacrine hydrochloride,Cladribine,NCI-H23,-2.4444444444444446
Sorafenib tosylate,Cladribine,K-562,-8.555555555555555
Everolimus,Celecoxib,PC-3,4.888888888888889
Quinacrine hydrochloride,Tamoxifen citrate,HL-60(TB),-0.7777777777777778
Docetaxel,Vinblastine sulfate (hydrate),HL-60(TB),5.5555555555555545
Vinblastine sulfate (hydrate),Everolimus,SK-MEL-28,-2.333333333333333
Sorafenib tosylate,Sirolimus,MCF7,0.8888888888888888
Docetaxel,Tamoxifen citrate,HL-60(TB),55.33333333333334
Vorinostat,Tretinoin,NCI-H226,-6.222222222222222
Sorafenib tosylate,Imatinib mesylate,SK-MEL-28,-2.555555555555556
Everolimus,Celecoxib,HCT-116,1.8888888888888888
Romidepsin,Imatinib mesylate,PC-3,-3.111111111111111
Vorinostat,Imatinib mesylate,NCI-H226,-9.888888888888893
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),RPMI-8226,-5.0
Paclitaxel,Tretinoin,RPMI-8226,42.55555555555557
Quinacrine hydrochloride,Tamoxifen citrate,UACC-62,0.4444444444444444
Romidepsin,Cladribine,SW-620,-2.333333333333333
Docetaxel,Vinblastine sulfate (hydrate),SF-539,-8.333333333333334
Thalidomide,Tamoxifen citrate,LOX IMVI,-2.7777777777777777
Sorafenib tosylate,Tretinoin,HS 578T,7.555555555555554
Sorafenib tosylate,Vorinostat,NCI-H23,-3.4444444444444446
Vorinostat,Paclitaxel,OVCAR-3,0.8888888888888888
Dasatinib,Nilotinib,RPMI-8226,-7.4444444444444455
Everolimus,Celecoxib,UO-31,4.5555555555555545
Fulvestrant,Everolimus,UACC-257,0.0
Nilotinib,Celecoxib,EKVX,-10.0
Dasatinib,Cladribine,A498,-0.3333333333333333
Docetaxel,Vinblastine sulfate (hydrate),OVCAR-8,-15.444444444444445
Vinblastine sulfate (hydrate),Imatinib mesylate,SF-539,-0.8888888888888888
Mitotane,Tretinoin,UO-31,2.7777777777777777
Mitotane,Tamoxifen citrate,SF-295,-2.888888888888889
Everolimus,Vorinostat,NCI-H460,-0.3333333333333333
Vinblastine sulfate (hydrate),Nilotinib,K-562,10.888888888888893
Dasatinib,Sirolimus,UACC-62,-3.888888888888889
Sorafenib tosylate,Tamoxifen citrate,MCF7,-0.7777777777777778
Thalidomide,Paclitaxel,CAKI-1,-2.888888888888889
Dasatinib,Paclitaxel,U251,3.4444444444444446
Dasatinib,Celecoxib,MDA-MB-468,-2.888888888888889
Mitotane,Tretinoin,MDA-MB-231/ATCC,0.3333333333333333
Docetaxel,Vinblastine sulfate (hydrate),UACC-62,21.777777777777786
Docetaxel,Sirolimus,KM12,1.3333333333333333
Sorafenib tosylate,Romidepsin,SF-295,-3.2222222222222223
Quinacrine hydrochloride,Tamoxifen citrate,EKVX,-3.111111111111111
Fulvestrant,Imatinib mesylate,HS 578T,-0.4444444444444444
Dasatinib,Docetaxel,KM12,1.3333333333333333
Quinacrine hydrochloride,Docetaxel,U251,3.2222222222222223
Mitotane,Everolimus,HL-60(TB),-2.333333333333333
Docetaxel,Vinblastine sulfate (hydrate),OVCAR-4,-5.222222222222221
Mitotane,Tretinoin,SK-MEL-28,3.0
Mitotane,Cladribine,T-47D,-9.888888888888893
Fulvestrant,Paclitaxel,CAKI-1,-6.222222222222222
Quinacrine hydrochloride,Sirolimus,CAKI-1,-7.333333333333332
Mitotane,Sirolimus,NCI-H460,-4.2222222222222205
Quinacrine hydrochloride,Tamoxifen citrate,HOP-62,-3.555555555555556
Imatinib mesylate,Celecoxib,DU-145,-2.555555555555556
Vorinostat,Nilotinib,MDA-MB-231/ATCC,-19.777777777777786
Dasatinib,Romidepsin,UO-31,-0.1111111111111111
Romidepsin,Celecoxib,MDA-MB-468,2.4444444444444446
Mitotane,Imatinib mesylate,ACHN,-9.444444444444443
Vinblastine sulfate (hydrate),Nilotinib,UACC-257,-4.2222222222222205
Tretinoin,Cladribine,SK-OV-3,-2.333333333333333
Fulvestrant,Nilotinib,SW-620,-3.333333333333333
Sirolimus,Tretinoin,NCI-H226,0.1111111111111111
Dasatinib,Paclitaxel,OVCAR-3,13.666666666666664
Sirolimus,Cladribine,NCI-H522,-7.666666666666668
Mitotane,Imatinib mesylate,UACC-62,-6.333333333333332
Romidepsin,Vinblastine sulfate (hydrate),PC-3,6.666666666666668
Vinblastine sulfate (hydrate),Dasatinib,OVCAR-3,1.8888888888888888
Thalidomide,Vinblastine sulfate (hydrate),U251,-2.555555555555556
Fulvestrant,Sirolimus,UO-31,-0.8888888888888888
Quinacrine hydrochloride,Mitotane,NCI-H226,-1.4444444444444444
Vorinostat,Romidepsin,NCI-H460,5.222222222222221
Everolimus,Cladribine,KM12,-3.333333333333333
Sirolimus,Cladribine,MALME-3M,4.5555555555555545
Romidepsin,Tretinoin,DU-145,-3.0
Everolimus,Tamoxifen citrate,K-562,-13.555555555555555
Everolimus,Sirolimus,MCF7,2.0
Fulvestrant,Cladribine,EKVX,-3.555555555555556
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),MDA-MB-468,3.333333333333333
Paclitaxel,Tretinoin,MDA-MB-468,32.55555555555556
Vinblastine sulfate (hydrate),Nilotinib,HOP-92,-5.888888888888888
Docetaxel,Celecoxib,OVCAR-4,15.222222222222221
Mitotane,Nilotinib,KM12,-3.0
Fulvestrant,Celecoxib,A498,-3.7777777777777777
Romidepsin,Vinblastine sulfate (hydrate),MDA-MB-468,-4.5555555555555545
Thalidomide,Vinblastine sulfate (hydrate),SF-539,5.5555555555555545
Romidepsin,Vinblastine sulfate (hydrate),MALME-3M,3.555555555555556
Mitotane,Celecoxib,LOX IMVI,-5.111111111111111
Vinblastine sulfate (hydrate),Sirolimus,U251,-7.777777777777778
Nilotinib,Celecoxib,MALME-3M,-16.444444444444443
Fulvestrant,Dasatinib,UACC-257,0.5555555555555556
Quinacrine hydrochloride,Tamoxifen citrate,A549/ATCC,-0.7777777777777778
Vorinostat,Vinblastine sulfate (hydrate),NCI-H522,-5.222222222222221
Mitotane,Dasatinib,HOP-92,-5.333333333333333
Quinacrine hydrochloride,Sirolimus,T-47D,1.7777777777777777
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),HT29,-12.333333333333336
Nilotinib,Tamoxifen citrate,SW-620,-4.888888888888889
Mitotane,Dasatinib,OVCAR-4,-4.4444444444444455
Vorinostat,Imatinib mesylate,UACC-257,-8.333333333333334
Mitotane,Everolimus,OVCAR-4,10.222222222222221
Vinblastine sulfate (hydrate),Dasatinib,MCF7,-0.1111111111111111
Docetaxel,Paclitaxel,OVCAR-8,-4.666666666666667
Sirolimus,Mitotane,A498,0.8888888888888888
Tretinoin,Celecoxib,NCI-H460,-2.555555555555556
Vinblastine sulfate (hydrate),Tamoxifen citrate,MALME-3M,3.555555555555556
Sorafenib tosylate,Everolimus,NCI-H23,-9.777777777777779
Vinblastine sulfate (hydrate),Everolimus,SF-295,-15.222222222222221
Fulvestrant,Everolimus,MALME-3M,33.77777777777778
Romidepsin,Paclitaxel,UACC-62,-8.333333333333334
Docetaxel,Nilotinib,MALME-3M,-19.444444444444443
Vorinostat,Docetaxel,HCT-116,-1.5555555555555556
Paclitaxel,Sirolimus,UACC-62,-11.0
Thalidomide,Sirolimus,LOX IMVI,5.111111111111111
Docetaxel,Fulvestrant,LOX IMVI,17.88888888888889
Everolimus,Nilotinib,UO-31,-2.6666666666666665
Docetaxel,Nilotinib,SF-268,-12.777777777777779
Dasatinib,Tretinoin,SF-268,-2.2222222222222223
Thalidomide,Docetaxel,SK-MEL-28,0.0
Sorafenib tosylate,Docetaxel,T-47D,-0.6666666666666666
Vorinostat,Imatinib mesylate,RPMI-8226,-7.222222222222222
Romidepsin,Paclitaxel,RPMI-8226,-4.0
Imatinib mesylate,Tamoxifen citrate,U251,-8.888888888888891
Nilotinib,Vinblastine sulfate (hydrate),KM12,-7.1111111111111125
Sirolimus,Vinblastine sulfate (hydrate),MDA-MB-231/ATCC,-14.0
Imatinib mesylate,Celecoxib,OVCAR-3,-4.333333333333333
Vinblastine sulfate (hydrate),Everolimus,MCF7,-3.6666666666666665
Sorafenib tosylate,Paclitaxel,T-47D,16.0
Sorafenib tosylate,Celecoxib,EKVX,-10.888888888888893
Fulvestrant,Tamoxifen citrate,SF-539,2.6666666666666665
Sorafenib tosylate,Dasatinib,OVCAR-8,0.3333333333333333
Dasatinib,Paclitaxel,RPMI-8226,3.2222222222222223
Vorinostat,Sirolimus,LOX IMVI,0.4444444444444444
Romidepsin,Docetaxel,NCI-H460,1.5555555555555556
Docetaxel,Nilotinib,A549/ATCC,2.0
Vinblastine sulfate (hydrate),Vorinostat,ACHN,-3.2222222222222223
Everolimus,Nilotinib,SF-539,-10.555555555555557
Paclitaxel,Tamoxifen citrate,HCT-116,15.333333333333336
Imatinib mesylate,Tretinoin,LOX IMVI,-1.4444444444444444
Nilotinib,Tamoxifen citrate,PC-3,-5.777777777777778
Fulvestrant,Tretinoin,HS 578T,10.777777777777779
Docetaxel,Celecoxib,HS 578T,20.88888888888889
Paclitaxel,Tamoxifen citrate,HL-60(TB),28.11111111111111
Fulvestrant,Paclitaxel,HT29,-7.0
Vinblastine sulfate (hydrate),Cladribine,HOP-62,-4.666666666666667
Vorinostat,Nilotinib,UACC-257,-6.777777777777778
Quinacrine hydrochloride,Tretinoin,HCT-116,-2.888888888888889
Sorafenib tosylate,Cladribine,SK-OV-3,-6.333333333333332
Sorafenib tosylate,Vorinostat,PC-3,-4.111111111111111
Quinacrine hydrochloride,Mitotane,HOP-92,-5.111111111111111
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),UACC-62,-9.0
Sorafenib tosylate,Romidepsin,HCT-116,11.666666666666664
Paclitaxel,Nilotinib,SK-MEL-5,8.333333333333334
Everolimus,Celecoxib,NCI-H460,-2.7777777777777777
Sirolimus,Tamoxifen citrate,UACC-257,-7.777777777777778
Nilotinib,Imatinib mesylate,ACHN,-16.444444444444443
Nilotinib,Tretinoin,NCI-H460,-1.5555555555555556
Vinblastine sulfate (hydrate),Cladribine,T-47D,-12.111111111111107
Everolimus,Sirolimus,RPMI-8226,-6.0
Romidepsin,Celecoxib,HS 578T,-0.1111111111111111
Romidepsin,Cladribine,DU-145,3.2222222222222223
Vorinostat,Romidepsin,NCI-H322M,4.111111111111111
Paclitaxel,Imatinib mesylate,OVCAR-8,25.11111111111111
Tamoxifen citrate,Cladribine,IGROV1,-1.8888888888888888
Vorinostat,Romidepsin,SK-MEL-28,1.2222222222222223
Dasatinib,Tamoxifen citrate,MCF7,-2.888888888888889
Docetaxel,Sirolimus,BT-549,1.0
Dasatinib,Celecoxib,NCI-H460,-3.555555555555556
Sorafenib tosylate,Imatinib mesylate,ACHN,-8.222222222222221
Sorafenib tosylate,Tretinoin,SW-620,-5.888888888888888
Fulvestrant,Cladribine,MDA-MB-231/ATCC,-0.2222222222222222
Mitotane,Docetaxel,SF-295,3.333333333333333
Thalidomide,Sirolimus,HT29,0.7777777777777778
Vorinostat,Cladribine,HCT-116,-4.4444444444444455
Dasatinib,Romidepsin,MALME-3M,-2.333333333333333
Vorinostat,Nilotinib,LOX IMVI,-0.1111111111111111
Thalidomide,Paclitaxel,HOP-62,2.888888888888889
Romidepsin,Vinblastine sulfate (hydrate),UACC-62,4.888888888888889
Vorinostat,Docetaxel,UACC-257,0.6666666666666666
Quinacrine hydrochloride,Tretinoin,A549/ATCC,-3.555555555555556
Docetaxel,Celecoxib,OVCAR-8,8.666666666666666
Quinacrine hydrochloride,Docetaxel,MDA-MB-435,-5.4444444444444455
Tretinoin,Cladribine,NCI-H226,-10.666666666666666
Thalidomide,Mitotane,ACHN,-1.7777777777777777
Everolimus,Tamoxifen citrate,NCI-H522,-0.5555555555555556
Dasatinib,Imatinib mesylate,T-47D,-6.888888888888888
Romidepsin,Docetaxel,OVCAR-4,0.7777777777777778
Thalidomide,Vinblastine sulfate (hydrate),NCI-H23,1.8888888888888888
Vorinostat,Imatinib mesylate,OVCAR-3,-14.888888888888893
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),IGROV1,-2.4444444444444446
Dasatinib,Cladribine,HL-60(TB),-6.777777777777778
Sorafenib tosylate,Dasatinib,NCI-H522,-4.2222222222222205
Fulvestrant,Celecoxib,ACHN,-5.111111111111111
Tamoxifen citrate,Celecoxib,T-47D,-1.7777777777777777
Imatinib mesylate,Cladribine,IGROV1,-2.7777777777777777
Fulvestrant,Dasatinib,EKVX,-2.1111111111111107
Everolimus,Vorinostat,K-562,-4.888888888888889
Everolimus,Celecoxib,MALME-3M,-5.333333333333333
Fulvestrant,Nilotinib,MALME-3M,-0.6666666666666666
Vinblastine sulfate (hydrate),Sirolimus,BT-549,-0.1111111111111111
Docetaxel,Nilotinib,NCI-H322M,-37.0
Romidepsin,Nilotinib,HCT-116,-4.4444444444444455
Sorafenib tosylate,Docetaxel,CAKI-1,14.333333333333336
Docetaxel,Cladribine,PC-3,-5.5555555555555545
Tamoxifen citrate,Celecoxib,OVCAR-4,-2.2222222222222223
Nilotinib,Cladribine,UO-31,-3.0
Sorafenib tosylate,Everolimus,RPMI-8226,-16.666666666666668
Vorinostat,Tretinoin,OVCAR-4,-2.333333333333333
Mitotane,Tretinoin,SF-295,0.5555555555555556
Tamoxifen citrate,Celecoxib,HOP-92,-3.7777777777777777
Tamoxifen citrate,Tretinoin,T-47D,-15.777777777777779
Nilotinib,Tamoxifen citrate,UACC-257,-6.0
Mitotane,Tretinoin,KM12,-2.1111111111111107
Fulvestrant,Celecoxib,EKVX,-5.4444444444444455
Quinacrine hydrochloride,Tamoxifen citrate,OVCAR-3,0.2222222222222222
Thalidomide,Sirolimus,EKVX,0.8888888888888888
